NAME,TEAM,PPG
Jayson Tatum,Bos,30.1
Jaylen Brown,Bos,26.6
Malcolm Brogdon,Bos,14.9
Derrick White,Bos,12.4
Marcus Smart,Bos,11.5
Al Horford,Bos,9.8
Grant Williams,Bos,8.1
Robert Williams III,Bos,8
Sam Hauser,Bos,6.4
Mike Muscala,Bos,5.9
Payton Pritchard,Bos,5.6
Blake Griffin,Bos,4.1
Luke Kornet,Bos,3.8
Justin Champagnie,Bos,2.5
JD Davison,Bos,1.6
Mfiondu Kabengele,Bos,1.5
Noah Vonleh,Bos,1.1
Justin Jackson,Bos,0.9
Jimmy Butler,Mia,22.9
Bam Adebayo,Mia,20.4
Tyler Herro,Mia,20.1
Max Strus,Mia,11.5
Kyle Lowry,Mia,11.2
Victor Oladipo,Mia,10.7
Caleb Martin,Mia,9.6
Gabe Vincent,Mia,9.4
Kevin Love,Mia,7.7
Cody Zeller,Mia,6.5
Duncan Robinson,Mia,6.4
Dewayne Dedmon,Mia,5.7
Nikola Jovic,Mia,5.5
Jamal Cain,Mia,5.4
Omer Yurtseven,Mia,4.4
Haywood Highsmith,Mia,4.4
Udonis Haslem,Mia,3.9
Jamaree Bouyea,Mia,3.8
Orlando Robinson,Mia,3.7
Dru Smith,Mia,2.2